Week,minggu
Year,tahun
Day,hari
Month,bulan
I understand,Saya mengerti
I don't understand,Saya tidak mengerti
lighter,Korek
cigarette,Rokok
to smoke,Merokok
happy to meet you,Saya bertemu Anda
wife,Istri
daughter,peremempuan
son,Laki-laki
princess,Putri
prince,Putra
child,Anak
in,di
where,dari
walking / walkabout,jalan-jalan
street,jalan
write,tulis
how do you spell,Bagaimana tulisannya
how  ,bagaimana  
study,belajar
sell,jual
umbrella,payung
what,apa
in where,di mana
from where,dari mana
ugly,jelek
rubber time,Jam karet
small,kucing
small rice,nasi kucing
Friday batik (at work),jumat batik
hot,panas
spicy,pedas
wait,tunggu
beach,pantai
white rice,nasi putih
cassava leaf,daun singkong
black coffee,kopi hitam
hot black coffee,kopi hitam panas
zero,noll / kosong
silver,perak
gold,emas
light,tua
dark,muda
favourite,favorit
what colour,warnanya apa?
rain,hujan
new,baru
countries,negara
flag,bendera
stars,bintang
mixed colours,warna-warni
NZ,Selandia Baru
will,akan
month,bulan
work,bekerja
cool,keren
meet,bertemu
have,punya
more,lebih
past,lewat
before,kurang
office,kantor
now,sekarang
to go,pergi
come,datang
tired,capai
a lot,banyak
to,sampai